nbQec avgQoe minQoe maxQoe medQoe
1 0.9702436269481457 0.3733020287151638 2.3097554828982743 0.741344127728597
2 1.2249663361235748 0.3733045468762517 2.3099734796510156 1.1290755351673536
3 1.3194550918849222 0.3733114924416161 2.310079950852082 1.2398547895796004
4 1.3838536918856417 0.3733064924355445 2.3098607004247764 1.4029588875208967
5 1.4112177929512808 0.3733028138182426 2.309726560229809 1.4889227262398355
6 1.4835195461920152 0.37330890978479014 2.31002181112912 1.6708754482150414
7 1.5043757535538587 0.3733150249685464 2.3097700641603383 1.7112904698801217
8 1.530190048936791 0.37330381090949727 2.3098650343303837 1.7365261646840524
9 1.5400572918461621 0.3733028924739803 2.31019413238478 1.7462404965643037
10 1.5360681087036454 0.373304107906006 2.3103009999999955 1.7515120292588269
11 1.556852875205202 0.3733034467203029 2.31010327459065 1.7625298823071471
12 1.5779258645664136 0.3733046865877254 2.309880048858373 1.7942334945191978
14 1.5829944623429986 0.37334397348921056 2.3098924932544067 1.8068806125299495
15 1.5875579297070859 0.37330418398483367 2.309914854520592 1.810595819608521
16 1.591512973979615 0.3733291964387291 2.3097894565567927 1.8145520795759067
17 1.6041202936428558 0.37330699474446405 2.309907644639657 1.82647695858551
18 1.6059553679249507 0.3733155263038723 2.3103009999999955 1.8321004082379457
19 1.6094007912185235 0.3733149602079333 2.31006259699355 1.8331345799891212
20 1.6145577868033811 0.37330287054037803 2.3099407097211535 1.8368758033304498
21 1.6218212453260568 0.3733025118508382 2.309863233275311 1.840251205058189
22 1.6207100065372622 0.3733087156125454 2.3103009999999955 1.8420079217032508
23 1.6241959573051865 0.3733148071326664 2.3100388431557324 1.8457828498720104
24 1.6229424856047279 0.3733203974328956 2.30992320376789 1.8418280391728725
25 1.6311017274042194 0.37330424621610225 2.3102472865199246 1.8511929343239863
26 1.626902376867745 0.3733069223048724 2.309913535204323 1.8490039129562978
27 1.6324573041439197 0.3733172603728945 2.3100342127468334 1.855568647897424
28 1.6353357959609767 0.3733065978593164 2.310014771426738 1.8576485766097681
29 1.6385949206425239 0.37331278627646647 2.3100669516293615 1.8568790856695634
30 1.638596199538892 0.3733162780053978 2.310250862988428 1.8591418964533934
31 1.6447687508866518 0.37330813533861784 2.309884463015138 1.8668200024092734
32 1.6414668289560883 0.37330140642828735 2.3103009999999955 1.862195785533248
