nbQec avgQoe minQoe maxQoe medQoe
1 0.9702436269481457 0.3733020287151638 2.3097554828982743 0.741344127728597
2 1.3684282864708688 0.37330304901319344 2.3099734796510156 1.2445054035055456
3 1.5318403473767224 0.37330304901319344 2.310079950852082 1.5602108003670185
4 1.6371747343979666 0.37344441868738887 2.309889339766963 1.6732884771475218
5 1.7059806005487255 0.3736976201746216 2.3101323532688762 1.7456572329207323
6 1.8170087174945349 0.37341222221999093 2.31002181112912 1.8373967679522105
7 1.8541448084667902 0.3735343567872851 2.3097700641603383 1.8745492531708559
8 1.8963830633749041 0.37464982540133773 2.3099157303845956 1.9060139516247347
9 1.9132850809826287 0.37372202743842386 2.31019413238478 1.9266425500002176
10 1.9153029021106938 0.3749269151046788 2.3103009999999955 1.920734302875937
11 1.9460337781110981 0.3733190109476432 2.31010327459065 1.9719008482253617
12 1.9749080916883095 0.373385389978381 2.3101113546916276 2.0061884636966996
14 1.9948992141528832 0.37346889861754184 2.3098924932544067 2.0361121722072615
15 2.000396927396765 0.37383044507186813 2.309918982239005 2.0369964605232496
16 2.007131751107429 0.37384755488586197 2.310058144926408 2.047329373215771
17 2.027013629973562 0.37368788377565676 2.309962376862694 2.071241088365321
18 2.034150512012804 0.3733381653817771 2.3103009999999955 2.083292363894863
19 2.048399536580223 0.3739454173999115 2.3101516521703203 2.1043586808471737
20 2.0497387911225875 0.37343779717589487 2.310164657806212 2.1076780344602684
21 2.062931222102412 0.3742632229811682 2.310264497901293 2.1261981817550994
22 2.063823690856876 0.37449324862433553 2.3103009999999955 2.126864768304135
23 2.067484370250263 0.3734356559359837 2.310128226413366 2.1308954797824122
24 2.067817881674102 0.3737768329625919 2.3099471101461093 2.13168464473212
25 2.077110381662866 0.3734129999483635 2.3103009999999955 2.1463264658016614
26 2.0769219160348986 0.3736269037809754 2.3101007266969176 2.1443357052328613
27 2.0850285246932576 0.3734300973815674 2.3103009999999955 2.1537472965891875
28 2.0908005071721476 0.373543141785452 2.310014771426738 2.165388335219632
29 2.0976897288056002 0.3742553893485916 2.310081031896488 2.1785897763457456
30 2.09630030803141 0.37413057299803 2.310250862988428 2.1746822536773083
31 2.099910642830006 0.37365206110268834 2.309884463015138 2.1803552972545543
32 2.1024617935464724 0.374350412986707 2.3103009999999955 2.186378317850002
