nbQec qoe
2 0.9574543700878231
3 0.9572583169891126
4 0.9583636132018942
5 0.9590271356257237
6 0.9599574088910782
7 0.9604288776535739
8 0.9599790555611079
9 0.9601001035353371
10 0.9602875920476703
11 0.9603388547847219
12 0.9605719570732912
14 0.9608907947224864
15 0.9602911151479037
16 0.9607307800130193
17 0.9609635366373918
18 0.9609687704090814
19 0.9610601244689553
20 0.9612531244569864
21 0.9611279566777156
22 0.9612389855722019
23 0.961272597382418
24 0.9612346352326019
25 0.9612386666968316
26 0.9613420597918473
27 0.9613367862385888
28 0.9614808552676973
29 0.9616124332851615
30 0.9616154187163504
31 0.9613381868465534
32 0.961535240967918
