%Nb QEC = 2, Nb Frames = 50, Distance step = 0.25, NbTest = 10,            use HEVC = True, FlatFixedResolution = 1920x1080, BitrateGoal = 0             inputVideo=bridge-jumping.mp4, averageEqTileRatio = 1.0
distance qualityAverageEquiTiled qualityCubeMapLower qualityEquirectangularTiledLower qualityPyramidLower qualityRhombicDodeca qualityRhombicDodecaLower
0.0 0.94215906 0.9831497499999998 0.9580318399999999 0.98020007 0.9698545599999999 0.9716210700000002
0.25 0.943431571 0.9822088289999998 0.9557049520000003 0.97730286 0.9684720629999999 0.9700968580000001
0.5 0.9483423240000001 0.9806061389999998 0.954713184 0.972911342 0.967950338 0.9681648779999998
0.75 0.9501971420000002 0.9769104370000002 0.9466672080000003 0.9610339219999998 0.9600829449999997 0.9568638139999998
1.0 0.9627619110000001 0.9780118800000001 0.9611558759999997 0.9568131409999998 0.9671042149999998 0.9631707999999998
1.25 0.9592089360000002 0.974759055 0.9489898569999999 0.9469605860000001 0.9620247660000001 0.9566695669999998
1.5 0.959437584 0.972439773 0.9511815599999999 0.9392056710000001 0.9582350520000004 0.9534706029999999
1.75 0.957846867 0.9702235670000002 0.9424828379999999 0.930488456 0.9529740769999998 0.9497393539999998
2.0 0.958332912 0.9691540890000002 0.9501810270000002 0.928599957 0.9541394299999999 0.9522434439999999
2.25 0.9580639730000001 0.9677651959999999 0.9539620400000001 0.93414222 0.950727479 0.95283643
2.5 0.9526372890000003 0.9648258500000001 0.937810224 0.93729914 0.9425362209999999 0.948373439
2.75 0.9457668300000002 0.9584058630000001 0.9462984360000002 0.9405489079999999 0.9360847889999997 0.9472714550000001
3.0 0.9426370050000001 0.956939752 0.9414873539999998 0.9421518180000001 0.9306142740000001 0.9442193910000001
3.141592653589793 0.94215906 0.95683316 0.9412064200000001 0.9425784500000001 0.9304183600000001 0.94429535
