cdf goodAverageEquiTiled badAverageEquiTiled goodCubMap badCubMap goodEquirectangularTiled badEquirectangularTiled goodPyramidal badPyramidal goodRhombicDodeca badRhombicDodeca
0.0 0.9974185999999999 0.9973362 0.9981188 0.9453392 0.995452 0.9680322 0.9879272 0.9558325999999999 0.9915838000000001 0.9255164
0.5 0.9975063300000002 0.9974145750000001 0.99825347 0.948463695 0.99583639 0.97275125 0.989054935 0.962555335 0.993757065 0.928783625
1.0 0.99755028 0.99743128 0.9983534900000001 0.95788348 0.99598786 0.97705898 0.98991707 0.96381731 0.9941661 0.9404209600000002
1.5 0.9975848199999999 0.9974958549999999 0.9983796249999999 0.9677143850000001 0.9960669450000001 0.980636015 0.9902155100000001 0.9658983150000001 0.99509635 0.94970052
2.0 0.9976449199999999 0.9976070800000001 0.99839164 0.96797194 0.99629426 0.9813678599999999 0.9905163800000001 0.9668652800000002 0.99515518 0.95174296
2.5 0.9976961999999999 0.9976794250000001 0.998427475 0.9718647999999999 0.9966139 0.9833736 0.9908661000000001 0.967503125 0.9953475749999999 0.9526427000000001
3.0 0.9977205599999999 0.99771693 0.9984389499999999 0.9740842799999998 0.9966925100000001 0.98402746 0.99091288 0.9676282700000001 0.9954385299999999 0.9541452899999999
3.5 0.9977446999999999 0.99775871 0.99846775 0.9756579100000001 0.9968043600000002 0.984561175 0.9911279199999999 0.9692275000000001 0.995546665 0.9570046700000001
4.0 0.99777088 0.9977857200000001 0.9985265199999999 0.9764650399999999 0.99687044 0.9851191999999999 0.99151916 0.969949 0.9956499999999999 0.9584493599999999
4.5 0.99779399 0.9978476850000001 0.9985470549999999 0.9777700100000001 0.9968976900000001 0.9855800849999999 0.99161118 0.970570235 0.995699395 0.961077345
5.0 0.99780225 0.99787105 0.998551 0.97832795 0.9969963000000001 0.9860133 0.99169055 0.97119705 0.9957874500000001 0.9628154000000001
5.5 0.99782406 0.9979309299999999 0.998571855 0.9802371999999999 0.9970531650000001 0.9865764499999999 0.992008835 0.9716320150000001 0.9958935050000001 0.9635338649999999
6.0 0.99789788 0.99796726 0.99859024 0.9814255 0.9971040599999998 0.9867829799999999 0.99204068 0.97239064 0.99602694 0.9644950000000001
6.5 0.997934015 0.9980121300000001 0.998621005 0.981671975 0.9971229 0.9870850600000001 0.992251375 0.97291281 0.99611858 0.9650748950000001
7.0 0.9979673099999999 0.9980548399999999 0.9986358700000001 0.98264205 0.9971488 0.98747501 0.9926926500000001 0.97323525 0.9961666800000001 0.96594926
7.5 0.99802495 0.9981124499999999 0.9986508500000001 0.9831009 0.997223925 0.988062975 0.9927405750000001 0.973424425 0.996218225 0.966632475
8.0 0.9980688799999999 0.9982093599999998 0.99866176 0.9834896 0.9972704400000001 0.98827592 0.99300784 0.9735462399999999 0.9962466400000001 0.9673227200000001
8.5 0.99812355 0.998238275 0.9986796849999999 0.9840668599999999 0.997311285 0.9884204249999999 0.993193305 0.9737974950000001 0.9963158950000002 0.9679284650000001
9.0 0.99815061 0.99825513 0.9986983600000001 0.9843873999999999 0.99735855 0.9887139 0.9932512200000001 0.9742304100000001 0.99634959 0.9683377500000001
9.5 0.99820424 0.998278785 0.998733485 0.98451496 0.997402835 0.98880877 0.99346215 0.97436885 0.9963857250000001 0.969469255
10.0 0.9982652999999999 0.998321 0.9987781 0.9849701 0.9974516 0.9891764999999999 0.993693 0.9750122 0.9964064 0.9696586999999999
10.5 0.9983049300000001 0.9983450350000002 0.9987889400000001 0.9853499 0.99750692 0.9892957150000001 0.9938923900000002 0.9751960150000001 0.996416075 0.9702473600000001
11.0 0.9983388599999998 0.9983693499999999 0.99879962 0.98553458 0.9975361 0.98942458 0.99392347 0.9754427699999999 0.99643668 0.9707916200000002
11.5 0.9983733100000001 0.99838454 0.9988162600000001 0.98572703 0.9975952450000001 0.9895768399999999 0.9940187249999999 0.9757902700000001 0.9965052099999999 0.97158236
12.0 0.99839228 0.99843532 0.9988317999999999 0.9858129600000001 0.99764604 0.98980212 0.99435448 0.97644588 0.9965524 0.97185272
12.5 0.998434425 0.99846215 0.9988601 0.986487825 0.9976611249999999 0.989908625 0.994419825 0.97675395 0.996597175 0.9729348250000001
13.0 0.99845447 0.99847474 0.9988803799999999 0.9875764300000001 0.9976737999999999 0.99016822 0.9944539000000001 0.9768623799999999 0.99661171 0.9740846
13.5 0.9984692549999999 0.9984863750000001 0.9989077749999999 0.9877848200000001 0.99771676 0.9903445550000001 0.99449392 0.97707448 0.9966556850000001 0.9747914850000001
14.0 0.9984975199999999 0.99849346 0.99891632 0.9880477999999999 0.99772144 0.99051078 0.99465668 0.9773817 0.9967062200000001 0.9757883799999999
14.5 0.9985164949999998 0.9985132149999999 0.99895524 0.9882457250000001 0.99773067 0.99066549 0.99468931 0.9776457 0.9967407 0.976308425
15.0 0.9985270499999999 0.9985377499999999 0.9989807500000001 0.9887534 0.99773655 0.9908324999999999 0.9947533999999999 0.9777697999999999 0.9968097 0.9766366000000002
15.5 0.99853459 0.9985491749999998 0.99898612 0.9891807100000001 0.99775059 0.9910635099999999 0.9948039399999999 0.9780204400000001 0.996835715 0.9773781
16.0 0.998541 0.9985626799999999 0.99900276 0.9896404000000001 0.9977579999999999 0.99123508 0.9949193999999999 0.9782688800000001 0.9968567999999999 0.9782763999999999
16.5 0.9985567000000001 0.998577455 0.99900518 0.9897776699999999 0.9977841399999999 0.99136206 0.9949925949999999 0.9788775500000001 0.9968995599999999 0.9791270099999999
17.0 0.99856588 0.9986090300000001 0.9990207799999999 0.9906725300000001 0.9977910000000001 0.99145534 0.9950317000000001 0.9788897000000001 0.99692213 0.9796098799999999
17.5 0.9985688749999999 0.9986126499999999 0.9990356500000002 0.9908334249999999 0.9978063250000001 0.9915229500000001 0.9950717 0.9790765499999999 0.99693085 0.9802514749999999
18.0 0.9985773000000002 0.99862808 0.9990422800000001 0.9910646600000002 0.9978149799999999 0.99165568 0.9952703799999999 0.97938862 0.9969469799999999 0.98105364
18.5 0.9985826050000001 0.9986371349999998 0.99905344 0.99157697 0.9978295399999999 0.99178769 0.99544289 0.9795660049999999 0.9969613800000001 0.98180534
19.0 0.99858634 0.99864259 0.99906394 0.99188849 0.99784775 0.9919592 0.99552065 0.9797510399999999 0.99700947 0.9820953600000001
19.5 0.99860591 0.9986472399999999 0.9990666000000001 0.9921349049999999 0.9978532250000001 0.99213218 0.9956915100000001 0.979975295 0.9970307350000001 0.9823072549999999
20.0 0.9986090000000001 0.9986523999999999 0.9990716000000001 0.9925127999999999 0.9978624 0.992248 0.9957446000000001 0.9800142000000001 0.9970616 0.9824662
20.5 0.99862165 0.998653435 0.99907523 0.9926168450000001 0.997875695 0.9923065750000001 0.9957569000000001 0.98044933 0.997093175 0.9828811150000001
21.0 0.9986324999999999 0.99866757 0.99907743 0.99306169 0.9978987100000001 0.99236721 0.9958414 0.9805736699999998 0.99712094 0.98360129
21.5 0.9986396100000001 0.99867398 0.999079195 0.9934013650000001 0.9979198250000001 0.9926069000000001 0.9959317350000001 0.980906005 0.9971664250000001 0.983772275
22.0 0.9986431600000001 0.99867586 0.99908834 0.9943548 0.9979416999999999 0.9926362 0.9959803599999999 0.9811505199999999 0.9971892599999999 0.9842575999999998
22.5 0.9986523500000001 0.9986815 0.999093725 0.9946170750000001 0.997948325 0.9927757500000001 0.996006375 0.981364375 0.99722815 0.9851779
23.0 0.99865607 0.9986838 0.99910162 0.99484649 0.99795188 0.9928400399999999 0.99604922 0.9815754299999999 0.99723021 0.98564718
23.5 0.9986624299999999 0.9986903249999998 0.999104325 0.994969255 0.997959975 0.9930019800000001 0.9962085000000003 0.98178389 0.9972427299999999 0.985981805
24.0 0.9986709599999999 0.99870164 0.9991112799999999 0.9953796400000001 0.99798528 0.9931034399999998 0.9962645600000001 0.9820697600000001 0.9972557200000001 0.9862878799999999
24.5 0.9986788900000001 0.9987048 0.999115245 0.9957450750000001 0.9979950050000002 0.9931659400000001 0.9962784550000001 0.98242936 0.997279715 0.9868029850000001
25.0 0.99868715 0.9987064999999999 0.9991176500000001 0.9960199500000001 0.9980041500000001 0.9933833000000001 0.9963107499999999 0.982633 0.9973355500000001 0.9869169
25.5 0.99869546 0.998709125 0.9991196450000001 0.9960367149999999 0.9980085300000001 0.99349516 0.9963731499999999 0.9827888200000001 0.997343655 0.98721687
26.0 0.9987016799999999 0.99871394 0.99912318 0.9961664800000001 0.99801296 0.99364464 0.9964905000000001 0.98288378 0.9973870199999999 0.9876032800000001
26.5 0.998706055 0.9987156850000001 0.999125435 0.996235675 0.998017455 0.9937240949999999 0.99654266 0.983074105 0.99739688 0.987749645
27.0 0.9987184800000001 0.99871836 0.99912705 0.9963358 0.99802427 0.9938416899999999 0.9965872100000001 0.9833918100000001 0.9974042100000001 0.9882219700000001
27.5 0.998721325 0.9987232500000001 0.999130075 0.996502025 0.998042225 0.9939223500000001 0.9966232 0.9835689500000001 0.997425775 0.9883326749999999
28.0 0.9987268 0.9987295199999999 0.99913456 0.9965626799999999 0.9980558 0.9940642 0.9966620800000001 0.98363556 0.9974391600000001 0.98875244
28.5 0.998732295 0.9987342 0.9991381699999999 0.9966190850000001 0.9980694350000001 0.99425886 0.9967135949999999 0.983707615 0.9974483799999999 0.988793025
29.0 0.9987384 0.9987418 0.99914042 0.9966838000000001 0.99808064 0.99432447 0.99676073 0.98396146 0.99747521 0.98908568
29.5 0.9987467699999999 0.9987461 0.99914711 0.9967441249999999 0.9980944749999999 0.994399555 0.9968442399999999 0.98406237 0.9974805 0.9893000049999999
30.0 0.9987475000000001 0.998753 0.9991483000000001 0.9968036 0.9981024000000001 0.9944828000000001 0.9968815 0.9842751999999999 0.9975034 0.9894132999999999
30.5 0.9987546900000001 0.9987551 0.9991488150000001 0.99685762 0.9981084400000001 0.9946041199999999 0.9969655449999999 0.98473789 0.997530155 0.989667845
31.0 0.99875593 0.99875932 0.9991497899999999 0.9969991 0.99811643 0.99472103 0.9969985 0.98487525 0.9975414200000001 0.9897384
31.5 0.99876078 0.9987648450000001 0.9991509149999999 0.9971024650000001 0.9981217599999999 0.99482852 0.9970220049999999 0.98493363 0.99754927 0.9897934150000001
32.0 0.9987659600000001 0.9987676799999998 0.9991531600000001 0.9972046399999999 0.9981268000000001 0.9948685200000001 0.9970646 0.9851477200000001 0.99755312 0.9899289200000001
32.5 0.99876835 0.998769425 0.999155275 0.997275725 0.998141625 0.995052475 0.997087025 0.98530655 0.997562025 0.9899814250000001
33.0 0.998769 0.99877095 0.99915758 0.9973141400000001 0.9981486799999999 0.99510439 0.9971176100000001 0.9854689000000001 0.99757144 0.9901158600000001
33.5 0.998777265 0.998774515 0.9991597049999998 0.997396565 0.998149715 0.995202675 0.9971650000000001 0.9856237 0.99757745 0.990348085
34.0 0.99878722 0.9987796800000002 0.9991606399999999 0.99752718 0.9981550399999999 0.9952441599999999 0.9971833999999999 0.9857314800000001 0.9975824200000001 0.99038458
34.5 0.998790075 0.99878147 0.99916255 0.9976467600000001 0.99816927 0.9953520600000001 0.99721174 0.9858199950000001 0.9975923000000001 0.990451395
35.0 0.99879145 0.9987842 0.9991664500000002 0.9977024 0.99817965 0.9953661000000001 0.99723695 0.9859788499999999 0.9976198000000001 0.9905951499999999
35.5 0.9987924950000001 0.998790255 0.9991695649999999 0.9978025149999998 0.9981854149999999 0.99543146 0.997246505 0.9862075949999999 0.9976295500000001 0.99077206
36.0 0.9987949599999999 0.9987927600000001 0.99917228 0.99790288 0.9981959600000001 0.9955395600000001 0.99727776 0.98624568 0.9976436399999999 0.9911054800000001
36.5 0.998798375 0.9987945999999999 0.99917359 0.997947755 0.9982058749999999 0.99560466 0.9972936550000001 0.9863269050000001 0.997656555 0.9911932049999999
37.0 0.99880104 0.9987971099999999 0.99917442 0.9979902 0.99821397 0.9956129300000001 0.9973087200000001 0.9863867500000001 0.9976592400000002 0.99125065
37.5 0.99880315 0.9988007749999999 0.99917705 0.998030225 0.9982296749999999 0.9956284 0.997346075 0.986448975 0.9976674999999999 0.99138175
38.0 0.99880878 0.9988094000000001 0.99918128 0.9980519799999998 0.9982440399999999 0.9957380600000001 0.9973628 0.98652186 0.99767344 0.9917391
38.5 0.9988120200000001 0.9988144050000001 0.99918682 0.998071025 0.998248405 0.9957633400000001 0.9973687350000001 0.9865639650000001 0.9976752249999999 0.9918738699999999
39.0 0.99881513 0.9988183599999999 0.9991885699999999 0.9980939100000001 0.9982536099999999 0.99577168 0.9973760300000002 0.9866434199999999 0.9976800700000001 0.9920784500000001
39.5 0.9988174249999999 0.9988222450000002 0.999193785 0.99814524 0.998258125 0.9958511999999999 0.9973889299999998 0.9867906399999999 0.997681885 0.992520975
40.0 0.9988212000000001 0.998826 0.9991976000000001 0.9981975999999999 0.9982635999999999 0.9959266 0.9973941999999999 0.9869174 0.9976914000000001 0.9926619999999999
