nbQec avgQoe minQoe maxQoe medQoe
1 1.2028905650042432 0.3733070409302164 2.3094498131622774 1.0559109212118247
2 1.5789793460092107 0.3734064700765418 2.30976266231028 1.703109663985432
3 1.4015041323604782 0.37445410313910377 2.3094498131622774 1.1938601545348935
4 1.6353039666961668 0.3739435945681273 2.3091784662925225 1.6695240526069857
5 1.7584071517895583 0.3759828241401071 2.3060244083916253 1.7864550212275745
6 1.8876300249108942 0.37918239072065774 2.309740700703775 1.9213004139589596
7 1.9256214296964587 0.37459275358381205 2.3099034196008397 1.9413700064337116
8 1.8792082257229585 0.3743734878584215 2.3036516034990755 1.9068182715133384
9 1.9125103668261554 0.3761137450479677 2.309365153099382 1.9154331163434881
10 1.9361893675288016 0.3784066753053641 2.308718946952458 1.9692768463461707
11 1.9228942119503831 0.37913974586407884 2.309387858388405 1.9470368516147787
12 1.9427626352348737 0.377785546673191 2.3049226511993455 1.9728042148423957
14 1.9806954967311055 0.37498734190649374 2.3099267636540994 1.9987478764016378
15 1.9259410291669803 0.37787310749859215 2.309166567706733 1.9475031579423718
16 1.9895891981429965 0.3744946070259463 2.305520885516933 2.0277144991838414
17 2.002716548273489 0.38051835917447585 2.309599003088934 2.040852479365223
18 2.0193825775041647 0.37333605847060225 2.3093129433278876 2.070277638945755
19 2.0514397911103783 0.374996469895418 2.3098258638213958 2.122707860920191
20 2.0471278090702865 0.37444012788333336 2.309851358840071 2.097459972605746
21 2.0526316080681117 0.37916592510310076 2.308864007320781 2.1143974613818064
22 2.071722293097095 0.3737718780489283 2.31013184928058 2.1472762198556388
23 2.0626702199089038 0.3771594766913855 2.3101105175865704 2.1176567102338097
24 2.0632235091415962 0.374240971187078 2.3087636574449286 2.1244130343164427
25 2.0763516561602855 0.38608728462713215 2.309935388832966 2.147390701603156
26 2.083714856218504 0.3773505315137109 2.309884780086467 2.1643640020143926
27 2.073749749482602 0.3768927745066566 2.30964412079315 2.133159352166952
28 2.0904351143497273 0.38519632399337955 2.30995139069524 2.169888324797621
29 2.0985549346297265 0.38015374565427584 2.3099949455561224 2.1710487756462613
30 2.1135128271887242 0.3746341865274636 2.3095147110684553 2.207448655685153
31 2.089501477130793 0.37540998584077645 2.3085692613028552 2.1623505116078143
32 2.11086975468686 0.3760011327966253 2.30994258987381 2.2019205446621646
