nbQec avgQoe minQoe maxQoe medQoe
1 1.2028905650042432 0.3733070409302164 2.3094498131622774 1.0559109212118247
2 1.524356281539326 0.3733148911696924 2.30976266231028 1.6554202160509939
3 1.3552682617772616 0.3737942099293141 2.3094498131622774 1.1824266908218417
4 1.544520789590204 0.3733428528111469 2.3091784662925225 1.5739979291738828
5 1.651256306290567 0.37339814931381254 2.3060244083916253 1.7228663765908603
6 1.765826138072559 0.37335488101370196 2.309740700703775 1.8710500615437966
7 1.7933522837051954 0.3735974787102747 2.3096953895231733 1.8745062531805394
8 1.7515703202894743 0.3734364689335432 2.3016840672534844 1.8608976930156431
9 1.7749924485040924 0.3739947600565332 2.309365153099382 1.8707705439774402
10 1.8024715164594087 0.37386206756061147 2.308718946952458 1.9011251587160973
11 1.788375668321254 0.37378345662893153 2.30917843169782 1.8969395745546638
12 1.805305023419459 0.3741185920464718 2.3049226511993455 1.9075477152894915
14 1.8379467052296876 0.37424436316978493 2.3099267636540994 1.9216990187531349
15 1.7849822819414563 0.37396647456645105 2.309166567706733 1.888983352813007
16 1.8399767034004497 0.37338124677569073 2.305520885516933 1.948322810839374
17 1.8535165456038882 0.37334421492261205 2.309599003088934 1.9692044223677225
18 1.8630571030579282 0.37333605847060225 2.3093129433278876 1.9965090018744198
19 1.893444551502751 0.37333462097210046 2.30950200401473 2.0282156590892315
20 1.887441815725692 0.37330325798573827 2.309851358840071 2.026191278173777
21 1.8918303225221937 0.3734373958205912 2.308624565343268 2.0349401600434525
22 1.9095341427623354 0.3737718780489283 2.31013184928058 2.050607779704552
23 1.9015979038688786 0.3740454975584633 2.3101105175865704 2.0415176155544525
24 1.899967261572812 0.3736733967817689 2.3087636574449286 2.038865191491393
25 1.9131742254746096 0.373397577503207 2.3096272990070323 2.060996818189272
26 1.913524292002629 0.3734173477258702 2.309884780086467 2.0722136511001232
27 1.9114347639749438 0.37395995824477835 2.30964412079315 2.0655451096305004
28 1.9265752307486934 0.373457806773418 2.30995139069524 2.085718668572294
29 1.9331216104984394 0.37426883857390325 2.3099949455561224 2.099592801490863
30 1.9445313055702542 0.37354742787509543 2.3095147110684553 2.1175305127245734
31 1.9220612717977927 0.3736085266288778 2.3073012322710307 2.083364508327205
32 1.9358460889245204 0.37373727160812353 2.30994258987381 2.106775384250722
