cdf 0.1s 0.25s 0.5s 1s 1.5s 2s 2.5s 3s 3.5s 4s 4.5s 5s
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.5 0.0 0.0009610641347969487 0.0013813456869445748 0.0021407022466794585 0.002831209108405103 0.0035415205614711975 0.004466318985479039 0.005448027177799094 0.006425360934214235 0.007233576367307504 0.007870470897768898 0.00858651496931249
1.0 0.0008227498844302487 0.0015225756264566617 0.0022669027020691063 0.003672496229904788 0.0050073956352948085 0.006356256692376121 0.007933345434190955 0.009588187717160628 0.011278436605315825 0.01280877760728461 0.01397460955349972 0.01525229432375232
1.5 0.0010968996367207375 0.002027551308016812 0.003079583609569643 0.0052189398005953345 0.00715016618757373 0.009092960797679165 0.011328618744349997 0.013605051862594052 0.01580005289096304 0.01792879277762104 0.019633331707922138 0.021463507554168523
2.0 0.0013271856279187641 0.002517034980287154 0.003932952026106622 0.006716034902068291 0.009238658366330995 0.01180959353785484 0.014596767125570249 0.01741918661604363 0.020154997701365803 0.022910513047872023 0.025265240503849595 0.027802035832844803
2.5 0.0015468227038357954 0.003010509929302634 0.004767409920095342 0.008164702589079254 0.01134106909563734 0.014410531407607792 0.017741653338797535 0.021152916724071553 0.024622413396552557 0.028160624276489764 0.031093893603148362 0.03409602034637155
3.0 0.0017685607044029225 0.0035043661644843724 0.005623644247178618 0.009625733892272902 0.013384007470909579 0.01702332114240616 0.020894194296753155 0.02502533574327445 0.029342214851764345 0.033363579145244654 0.03677535857868564 0.04050576453007542
3.5 0.0019596480732766604 0.004004159428184495 0.006413513200662191 0.011090515920804987 0.01540328306127222 0.019602747441095525 0.024104602846873154 0.029075441071940752 0.03387774295495385 0.03861861060029812 0.04282432724422029 0.04715498611570823
4.0 0.0021779444700610077 0.004508151764399235 0.007212667033611481 0.012537580670413155 0.01746289091027513 0.022230486884878775 0.027467748567020972 0.032984027849567006 0.0385768311900852 0.044078879701188636 0.04897923474039281 0.0538747752821916
4.5 0.0024081327104114097 0.005014381907074426 0.007992186123230672 0.01399894508300029 0.019504983380412604 0.02491738397090343 0.03085935561360455 0.03693071286319225 0.04340546009361905 0.04973242090301381 0.05525044879767736 0.060524519278208386
5.0 0.002627851455052364 0.005524804976300521 0.008802241318884019 0.01544992535231791 0.02159651952657042 0.0276695087583141 0.03414474669180391 0.041100749126115735 0.0483890504598189 0.05545653572090671 0.06146937393246687 0.0674292763936726
5.5 0.0028572762067986287 0.006012131643456797 0.009641803781739844 0.016934526496641625 0.023646587966957507 0.03050392498614264 0.037522773909373926 0.045319865475418206 0.053530781896842246 0.06109923518757679 0.06795056991675771 0.07471841248320421
6.0 0.0030846968694180294 0.006487161749159139 0.010480485918410581 0.01838170206309104 0.02580640812603472 0.03323882097790323 0.041071471780208486 0.04969575991141076 0.05868818806531879 0.06689955436412125 0.07479218854267977 0.08214149153755457
6.5 0.0033232755474639684 0.006975398060459967 0.011307627437359163 0.01983774162879684 0.027981525062908075 0.0360192012457899 0.04465782770396159 0.0541963427782293 0.06376777076716625 0.07315591568122604 0.08155737073961694 0.08981625759291786
7.0 0.0035551793755829748 0.007450712359361329 0.012166382089088717 0.02136457194781407 0.030184720698416247 0.038912531521339624 0.048345147873313774 0.058768347199802354 0.06928157009520816 0.0793872125137718 0.08852614259354076 0.09775768553150296
7.5 0.003797683219419183 0.007945349096715614 0.012992576803007158 0.022836491113763374 0.03234342159156083 0.04186381985992219 0.05214373354178756 0.0633235057205481 0.07494517983141422 0.0856467297510766 0.09583214950186676 0.10580841860544198
8.0 0.004033414728356888 0.00843953278068688 0.013829522151112389 0.024356458888004168 0.034509455369568974 0.04488657075454794 0.05606042740249938 0.068174390399863 0.08064262400015315 0.09232815012383268 0.10330387937656706 0.1136608607274091
8.5 0.004282937696132793 0.008944954257774952 0.014676644409782369 0.025897049877126117 0.03677864714012462 0.047972680359765 0.05991739973024839 0.07311009049762193 0.0864375527799658 0.09903794078031987 0.11076624929147992 0.12191450690859404
9.0 0.004513618484694581 0.009460400576415881 0.015507447116042758 0.027455328770104898 0.03911508747550811 0.05116946400134431 0.06392462564158409 0.07811946490945623 0.09250097968443131 0.10592828460473058 0.1183017814006274 0.1303039844878958
9.5 0.004770026100671543 0.009978932874197353 0.016392027609936046 0.029079915430682553 0.041474019695856026 0.05439709907768751 0.06813387031043094 0.08327637813916412 0.09861064983562465 0.11276253264099655 0.12597983548238179 0.13904205163080902
10.0 0.0050172747928186635 0.010511152002782916 0.01725618853445343 0.030660000492128248 0.04389493251359636 0.05774318749234304 0.0723712490655834 0.08854984230715922 0.10488470538127355 0.11974295268271198 0.13390441877468093 0.1476586308966247
10.5 0.00527682690562184 0.011032695055394469 0.018091779359817373 0.03221635110636118 0.04632198857788783 0.061044284946458936 0.07669190408292474 0.09391471944786145 0.11114611466233576 0.12692996527848352 0.1419239529503874 0.15658462195693748
11.0 0.0055376043796174675 0.011580937379186963 0.018963849917099727 0.03378665781405617 0.048842982822765516 0.06444909763172631 0.08109984139771563 0.09942226447217842 0.11747773809487744 0.13422963557428869 0.14994321692302412 0.16537857484235696
11.5 0.005792055916780812 0.012121258406214494 0.01983107653532695 0.03539710367545624 0.05138392646397938 0.06809120478084334 0.0855564065642501 0.10507287450769401 0.12397661930844218 0.14163666169505074 0.1579842084509871 0.1744642646683881
